# MD Simulation - NVT Ensemble
# Timestep: 0.1 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       320       32.000       368.70      0.03853085   -756.74693097   -756.70840011
       321       32.100       422.12      0.04411352   -756.74855381   -756.70444030
       322       32.200       486.01      0.05079080   -756.75051847   -756.69972767
       323       32.300       554.59      0.05795774   -756.75265812   -756.69470038
       324       32.400       632.11      0.06605805   -756.75481217   -756.68875412
       325       32.500       692.58      0.07237824   -756.75685593   -756.68447769
       326       32.600       747.84      0.07815237   -756.75866603   -756.68051366
       327       32.700       795.94      0.08317976   -756.76018437   -756.67700461
       328       32.800       834.07      0.08716444   -756.76138413   -756.67421968
       329       32.900       861.14      0.08999290   -756.76226096   -756.67226807
       330       33.000       877.96      0.09175077   -756.76282785   -756.67107707
       331       33.100       879.89      0.09195294   -756.76310857   -756.67115563
       332       33.200       877.64      0.09171797   -756.76313223   -756.67141426
       333       33.300       860.15      0.08989002   -756.76293169   -756.67304168
       334       33.400       849.30      0.08875571   -756.76254194   -756.67378622
       335       33.500       832.69      0.08702039   -756.76199180   -756.67497141
       336       33.600       814.68      0.08513804   -756.76130941   -756.67617137
       337       33.700       787.01      0.08224585   -756.76051991   -756.67827406
       338       33.800       745.87      0.07794735   -756.75965123   -756.68170388
       339       33.900       721.73      0.07542437   -756.75873633   -756.68331197
       340       34.000       688.21      0.07192124   -756.75778639   -756.68586514
       341       34.100       643.51      0.06725013   -756.75682803   -756.68957790
       342       34.200       612.50      0.06400933   -756.75589231   -756.69188298
       343       34.300       578.55      0.06046094   -756.75498968   -756.69452874
       344       34.400       552.78      0.05776763   -756.75414214   -756.69637451
       345       34.500       524.02      0.05476301   -756.75336207   -756.69859906
       346       34.600       500.06      0.05225896   -756.75266888   -756.70040992
       347       34.700       485.44      0.05073031   -756.75207525   -756.70134494
       348       34.800       464.97      0.04859123   -756.75158838   -756.70299716
       349       34.900       458.30      0.04789443   -756.75122326   -756.70332884
       350       35.000       451.26      0.04715890   -756.75098162   -756.70382272
       351       35.100       443.32      0.04632862   -756.75086978   -756.70454116
       352       35.200       443.55      0.04635275   -756.75089000   -756.70453726
       353       35.300       448.56      0.04687668   -756.75104134   -756.70416466
       354       35.400       449.22      0.04694586   -756.75132041   -756.70437455
       355       35.500       460.41      0.04811489   -756.75172019   -756.70360530
       356       35.600       484.26      0.05060757   -756.75223545   -756.70162788
       357       35.700       502.31      0.05249366   -756.75286223   -756.70036857
       358       35.800       527.04      0.05507784   -756.75358518   -756.69850734
       359       35.900       557.32      0.05824255   -756.75439599   -756.69615344
       360       36.000       576.02      0.06019656   -756.75528660   -756.69509004
